Job Title,Company Name,Location,Posted Time Ago,Description,Seniority Level,Employment Type,Job Function,Industries,Industries Sorted
"Chief Operating Officer, Greater Washington Community Foundation",LeaderFit,"Washington, DC",2 weeks ago,"Greater Washington Community Foundation
Chief Operating Officer
Washington, D.C.

Organization Overview

Since 1973, the Greater Washington Community Foundation has been a champion of thriving communities and a catalyst for change through local philanthropic engagement, effective community investment, and civic leadership. We work with donors and partners to enhance the quality of life in the District of Columbia, Montgomery County, Northern Virginia, and Prince George’s County.

The Community Foundation, under new leadership, will be embarking on a new strategic plan, building on the Foundation’s rich history of social justice grantmaking and community leadership initiatives and prioritizing community voice to ensure the Greater Washington region is an equitable, just, and enriching place for all residents to live, work, and thrive.



Reporting to the CEO, the COO will drive key operational and administrative functions to ensure the Community Foundation has the infrastructure needed to continue the organization’s success and impact. The COO will lead critical initiatives such as a technology transformation that allows the Foundation to expand its footprint and meet the increasing needs of our funder holders, partners and of our community. The ideal candidate will bring extensive nonprofit executive leadership experience and a demonstrated record of managing and enhancing the administration of a high-performing organization. The top candidate is a creative problem-solver who thrives on identifying solutions and focusing on what’s possible while facilitating strong collaboration and communication across the organization. They will bring strong emotional intelligence, authenticity, and a proven ability to help individuals and teams achieve their full potential. In addition, the COO will embody and nurture a strong and inclusive culture that reflects our values.




The Greater Washington Community Foundation is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",Executive,Full-time,Business Development,Nonprofit Organization ManagementCivic & Social OrganizationFinancial Services,Nonprofit Organization Management
SLHS Director of Health Information Management,Canton-Potsdam Hospital,"Potsdam, NY",4 weeks ago,"Health Information Management (HIM) System Director is responsible for leading and directing HIM operations across a multi-facility integrated healthcare delivery system; demonstrating extensive experience in leadership and strategic planning principles which promote and implement performance best practice.



Departmental Leadership



Strategic Planning



Quality Management



Compliance



Revenue Cycle Operations








EOE",Director,Full-time,Health Care Provider,"Health, Wellness and FitnessMedical PracticeHospital & Health Care",Health
Chief of Staff,Fivesky,"New York, NY",2 weeks ago,"Are you passionate about building reporting mechanisms to help craft an effective story to management? Are you the go-to person on collaboration and driving project efficiency? Do you want to work for a highly skilled team that is doing both? Then you could be Fivesky's next Chief of Staff.









At , our employees are our greatest asset and the focal point around which we operate; therefore, we always want the best for our employees. In addition to offering competitive compensation plans and long-term career opportunities, we offer an attractive mix of benefit plans to our employees that include provisions for vacation, holiday pay, and sick days.

Fivesky is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, genetic information, or any other characteristic protected by law.

This is a full-time, direct employment opportunity in New York. The salary is open based on experience and qualifications.",Director,Full-time,Other,Information Technology and ServicesComputer SoftwareComputer & Network Security,Information Technology
Regional Director of Information Systems,MERIT HEALTH WESLEY,"Hattiesburg, MS",1 month ago,"Job Description

This position will oversee the Information Technology departments at Merit Health Wesley in Hattiesburg, MS and Merit Health River Region in Vicksburg, MS. Establishes, plans, and administers the overall policies and goals for the information technology department. Analyzes the needs of different departments and determines ways to meet business objectives by modifying existing or developing new information processing systems. Relies on extensive experience and judgment to plan and accomplish goals. Performs a variety of tasks. Leads and directs the work of others. A wide degree of creativity and latitude is expected. Reports to the CIO. Bachelor's degree in a related area with at least 7-10 years of experience in the field. Experience with Cerner electronic medical records is a plus.

This position will oversee the Information Technology departments at Merit Health Wesley in Hattiesburg, MS and Merit Health River Region in Vicksburg, MS. Establishes, plans, and administers the overall policies and goals for the information technology department. Analyzes the needs of different departments and determines ways to meet business objectives by modifying existing or developing new information processing systems. Relies on extensive experience and judgment to plan and accomplish goals. Performs a variety of tasks. Leads and directs the work of others. A wide degree of creativity and latitude is expected. Reports to the CIO. Bachelor's degree in a related area with at least 7-10 years of experience in the field. Experience with Cerner electronic medical records is a plus. Familiar with a variety of the field's concepts, practices, and procedures.

Merit Health Wesley is an Equal Opportunity Employer that provides equal opportunities to all qualified persons without regard to race, veteran status, disability, color, religion, sex, national origin, any other federally protected class.",Director,Full-time,Information Technology,"Health, Wellness and FitnessMedical PracticeHospital & Health Care",Health
Agency IT Specialist I - Comptroller,City of Baltimore,"Baltimore, MD",1 week ago,"Class Description
Alternate market titles: Systems analyst, applications systems analyst/programmer, database specialist, systems programmer, network engineer, GIS analyst, architectural engineer, business analyst, quality improvement specialist, helpdesk analyst, security analyst.

An Information Technology Specialist provides technical support to customers for personal computers, network system infrastructure equipment, including testing, updating, maintaining, and providing training on mainframe client servers and microcomputer software and hardware; responds to helpdesk requests. Work of this class may involve leading and training less experienced IT Specialists, but does not involve full supervisory duties or responsibilities.
Selection Process
All candidates indicating the minimum qualifications on their applications will be placed on the eligible list without further examination. The training and experience of each candidate will be evaluated for appropriateness and quantity. Qualified candidates will not be listed in rank order.





Have an Associate degree in Computer Science or related discipline from an accredited college or university.

Two years of computer and customer support, applications analysis, and/or data security and testing experience.

Have an equivalent combination of education and experience.

Advanced technical credentials, e.g., Project Management Professional (PMP), Certified Information Security Manager (CISM), preferred.",Director,Full-time,Finance,Nonprofit Organization ManagementGovernment AdministrationHospital & Health Care,Nonprofit Organization Management
Deputy Chief Operating Officer,MetroPlus Health Plan,"New York, United States",1 month ago,"Deputy Chief Operating Officer
Job Ref: 54549
Category: Professional
Department: OFFICE OF THE COO
Location: 160 Water St. #3, New York, NY",Director,Full-time,Management,Hospital & Health Care,Health
DIRECTOR – BUSINESS DEVELOPMENT & CLIENT SERVICES,Theoris Services,"Indianapolis, IN",4 weeks ago,"We are an established, Indianapolis-based Technology & Engineering services firm with over 35 years of success.  
  We have strong relationships with well-established clients and are looking to aggressively grow our presence and market share.  If you are a top Business Development Professional in the Technology sector, whether in IT Solutions, IT/Engineering Staffing or Technology Consulting, we may be the right place for you to achieve your top performance and advance both your career and earnings.",Director,Full-time,Manufacturing,Staffing and RecruitingInformation Technology and Services,Staffing and Recruiting
"Faculty, FT Tenure-Track/Program Director, Health Information Technology (APPLICATION DATE EXTENDED) - Monroe Community College",Monroe Community College,"Rochester, NY",3 months ago,"Location: Rochester, NY Category: Faculty Posted On: Fri Oct 4 2019 Job Description:

Function Of Position

This position serves as the Program Director of the Health Information Technology program responsible for the implementation of the HIT educational program that includes day-to-day coordination, quality, activities, faculty, staff and resources of the program. Tenure-track faculty teach classes, develop new educational materials, assist with curriculum review and assessment, perform professional duties and participate in departmental and institutional functions, including department meetings and committee work. Tenure-track faculty report to the chairperson of the Health Professions Department. Academic departments are led by a peer who serves as a department chair for a three-year term. All tenure-track faculty are in the pool from which the chair is appointed. Faculty are responsible for preparing and teaching courses in the department and will be assigned at the Brighton Campus (or other, as appropriate). The successful candidate will bring expertise in Health Information Technology to MCC.











Required Qualifications:









Open until filled.",Director,Full-time,Health Care Provider,Nonprofit Organization ManagementHigher EducationEducation Management,Nonprofit Organization Management
"Director/Sr. Director, Medical Information",Kiniksa Pharmaceuticals,"Lexington, KY",4 weeks ago,"Reporting to the Vice President of Medical Operations, the Director/Senior Director, Medical Information will be a key member of the medical affairs team who will be responsible for development and implementation of medical information services within Kiniksa Pharmaceuticals. He/she will work closely with the broader medical affairs team, drug safety, scientific communications, legal, and regulatory to build and develop the medical information infrastructure and to establish corresponding medical information policies, procedures and workflows, including oversight of the call center, establishment of a medical information database, and provision of responses to unsolicited requests for medical information.

The Director/Senior Director, Medical Information will also oversee the generation, revision and maintenance of frequently asked questions and standard response letters for use in response to unsolicited request for medical information for both approved and investigational products within the Kiniksa portfolio. The Director / Senior Director, Medical Information is will remain current on relevant medical/scientific therapeutic areas of interest to the company and professional standards to ensure the group is able to provide timely, accurate, balanced and compliant medical information.",Director,Full-time,Health Care Provider,BiotechnologyHospital & Health CarePharmaceuticals,Biotechnology
Manual Tester Media streaming application experience,PDDN,"Farmington Hills, MI",1 day ago,"Company Description

PDDN is a provider of end-to-end software solutions and IT consulting Services and software development Company. is headquartered in Fremont, California with clients across the Silicon Valley and other Information technology Hubs in different states. With integrated solutions, software development, technical services, training and staffing support, we help customers achieve their technology goals allowing them to focus on their business.",Executive,Contract,Quality Assurance,Information Technology and ServicesComputer SoftwareFinancial Services,Information Technology
"Assistant Vice President, IT Solutions Design & Delivery",Federal Reserve Bank of Minneapolis,"Minneapolis, MN",4 weeks ago,"Job Description

The Assistant Vice President (AVP) for Information Technology (IT) Solutions Design and Delivery is responsible for leading the design, delivery and support of business-driven technology solutions for the Bank. Reporting to the Vice President for Information Technology, the AVP has primary leadership responsibility for the Bank’s comprehensive IT solutions strategy including software development, data engineering and end user computing. The AVP has day-to-day responsibility for ensuring that delivery, financial, productivity, service, and quality goals are met.

Working with the VP of IT, the AVP is responsible for establishing IT goals, strategy and priorities and adjusting direction as needed to respond to Bank programs, Federal Reserve System (System) direction, and industry changes. In addition to overseeing these functional responsibilities, the AVP is an active member of the Bank’s leadership team, the AVP will advise on Bank-wide policies, procedures and the work environment. Central to this role is achievement of the Bank’s key strategic efforts to deliver operational excellence and thought leadership for the Federal Reserve System and for the public, and to foster a diverse and inclusive culture. This leader will work effectively across departments in the organization with a Bank-wide and System-wide perspective and an emphasis on collaboration and consensus building.



Lead agile IT teams driven to provide a great user experience, exceptional solutions delivery and data management and analytics excellence.

Help drive the strategy and adoption of end user technology in Minneapolis and the system as a whole.

Actively partner with local and national business teams to build solutions to enable the business.

Lead the design and buildout of the new multi-cloud infrastructure using industry best practices.

Lead the developers to drive innovation and efficiency through automation and the adoption of new technology.

Leads the adoption of innovative technology practices and processes that continuously deliver business technology and data management solutions and capabilities and their enhancements for the Bank and System.

Actively participate in internal RFPs to bid for new software development projects.

Provides leadership, oversight, and support for IT to ensure management and staff understand and meet delivery, financial, productivity, service, and quality goals.

Develops overall plans for IT Solutions Delivery that are comprehensive, realistic, and aligned to business strategies in meeting relevant System IT and Bank goals. Establishes goals and priorities and adjusts direction as needed to respond to Bank programs, System IT direction, and industry changes.

Recruit, retain and foster development of a diverse team with an appropriate mix of management, interpersonal, and technical skills. Identifies and develops staff with leadership and management potential.

Ensures compliance with all applicable Department, Bank, and System policies, standards, service and quality measures, procedures, and controls to ensure the highest level of public confidence and operational integrity. Ensures the Bank’s information security environment complies with System standards and controls and effectively protects the IT infrastructure and information assets of the Bank.

Represents the Bank at all levels across the System, and may assume leadership positions at the System level, including developing, recommending and implementing significant initiatives. Influences IT standardization decisions and strategic initiatives through this participation and translates relevant activities into concrete action plans for the Bank.





Bachelor’s degree with concentration in computer science, management information systems or comparable technical discipline, or an equivalent combination of education and experience. Advance degree is preferred. Ten or more years of progressively more responsible professional experience in information technology in a large, complex IT environment with diverse technologies, solutions architectures and customer demands. Four or more years of demonstrated leadership experience (to include direct supervision/management) in areas such as product and program management, process engineering, solutions development using an agile framework, data management and/or technical support of complex mission-critical systems. Broad knowledge of current trends in information technology and technology solutions delivery and management. Experience with cloud technologies is preferred.

Visionary leader with strong personal and professional credibility, personal integrity and the courage of his/her convictions.

Proven record of addressing substantial challenges and successfully driving significant change through collaboration and matrix management. Ability to motivate, develop and lead a diverse team of service providers through collaboration and consensus to reinforce a culture of service, accountability and innovation. Experience in building consensus and support and resolving enterprise-level governance issues.

: Strong financial acumen to assess key financial indicators and make decisions accordingly. Demonstrated ability to make decisions in light of changing priorities or financial indicators. Commits resources to achieve improvement opportunities.

Strong business acumen with excellent organizational, problem solving, influencing and negotiating skills. Excellent day-to-day operating management skills – ability to execute coupled with a disciplined approach and an ability to effectively manage risk.

Highly developed interpersonal, presentation and communication skills with the ability to effectively relate and communicate at all levels, including the ability to explain technical matters in business terms.

: Commitment to delivering a great customer experience with a personal and professional value system consistent with the culture and values of the Bank and the Federal Reserve System. Ability to handle sensitive and confidential matters with judgment and discretion.

Federal Reserve Bank of Minneapolis



MN-Minneapolis



Full-time



Regular



Exempt



Yes, 15 % of the Time



Day Job



Tier II - No Credit Check",Executive,Full-time,Information Technology,Nonprofit Organization ManagementBankingFinancial Services,Nonprofit Organization Management
CHIEF INFORMATION OFFICER (CIO) SUPPORT ANALYST (Req 20 076),"TechAmerica, powered by CompTIA","Arlington, VA",1 week ago,"Responsibilities: Recommend and execute strategies or actions in support of Joint Strike Fighter (JSF) programs, initiatives and projects related to the area of Management, Technical, Financial and Business operations and solutions in support of the JSF Chief Information Officer (CIO) and staff. Provide support in defining and establishing best commercial business practices to identify process redesign opportunities; Information Technology (IT) cost optimization; support in the development of bench marking partners; reviewing business and IT strategy and vision; developing performance measures; recommending process changes creating and delivering transition plans; and providing analytical planning, strategic planning and program management planning. Provide program management activities supporting areas such as the business process improvement and other designated programs. This support includes, but is not limited to, the development of plans of action and milestones (POA&M); conducting studies and analyses of operational and business processes; creating business strategies; reviewing and improving programmatic financial information and reports; technical briefings and related materials regarding emerging business and IT areas and technologies within the functional areas. Provide project management support which includes, but is not limited to, facilitation of meetings, scheduling of video teleconferences, project analysis, cause and effect analysis, budgeting support, preparation of briefing materials, creation of correspondence, team tasking, and data call support.Education: BS or BA degree from an accredited university in Business, or Management.Allowable Substitution: An AS or AA degree from an accredited university and an additional four (4) years of experience; or an additional eight (8) years of experience may be substituted for a BS or BA degree.Experience: At least eight (8) years of experience in program management, technical or business analysis discipline; and included in the eight (8) years, there must be At least four (4) years of experience in program management, technical or business analysis; and included in the four (4) years, there must be two (2) years professional experience in technical efforts supporting major weapon systems and components development. Demonstrated knowledge of Service and OSD policy and documentation related to PPBS, life-cycle management of military acquisition programs (as specified in the DoD 5000 series). Must have experience processing program acquisition, funding and contract documentation for domestic and international military aircraft programs.Knowledge of the principles, policies, and practices of system acquisition to plan, organize, and coordinate critical aspects of the development, production, deployment, and sustainment of systems, subsystems, and equipment. Knowledge of Federal Acquisition Regulations (FAR) for the development of contracts and contract modifications required for the acquisition of logistics supportability products. Good briefing skills and interpersonal and/or diplomatic skills are highly desired.Other: Strong risk management skills desired. An Active Secret Security Clearance is Required.",Executive,Contract,Information Technology,Staffing and Recruiting,Staffing and Recruiting
VP Business Analytics,Wintrust Wealth Management,"Chicago, IL",1 month ago,"Wintrust WealthManagement (WWM)

VP Business Analytics& Reporting

Wintrust Wealth Management serves the financial needs of privateclients, including high net worth individuals, business owners, andinstitutions. Since our founding in 1931, we have been helping clients meettheir increasingly complex financial goals with the highest standards ofservice and integrity. Through our four companies, we offer comprehensivewealth management solutions, including investments, trust, asset management,and 1031 exchange services. Wintrust Wealth Management is a division ofWintrust, a financial services company with more than $36 billion in assets.

Theideal candidate will be responsible for various data warehouse/businessintelligence functions including, but not limited to the following:

Theposition will report to the CFO of WWM and will also have a reportingrelationship to the Wintrust Technology Group.










We provide an engaging, dynamic work environment, andan excellent compensation package which includes 401k, an employee stockpurchase plan, medical/dental insurance, life insurance, and more!

Wintrust Financial Corporation, including communitybanking and financial services subsidiaries, is an Equal Opportunity Employer.All qualified applicants will receive consideration for employment withoutregard to race, color, religion, national origin, citizenship status, sex,sexual orientation, gender identity and expressions, genetic information,marital status, age, disability, or status as a covered veteran. Werequest applicants refrain from disclosing current or historical compensationinformation during the recruitment process; any disclosed detail will not betaken into account as applicants are considered for employment.

SDL2019-128",Executive,Full-time,Business Development,BankingFinancial ServicesInvestment Management,Banking
"Director, Information Security","BioTelemetry, Inc.","Malvern, PA",1 week ago,"Director, Information Security
About BioTelemetry
BioTelemetry, Inc. is the leading remote medical technology company focused on delivery of health information to improve quality of life and reduce cost of care.We operate one of the largest real-time remote cardiac and glucose bio-sensing platform in healthcare.BioTelemetry's IoT cloud platform monitors over four billion heartbeats per day, processes over one million patients each year, and supports some of the largest clinical trials. We are the pioneer in remote patient monitoring, revolutionizing healthcare with a suite of cardiac monitoring devices.BioTelemetry is one of the fastest growing connected health companies in the market.",Director,Full-time,Information Technology,Defense & SpaceLaw PracticeLegal Services,Defence & Space
IT Director,"FUJIFILM Electronic Materials U.S.A., Inc.","Mesa, AZ",8 months ago,"The IT Director will be tasked to improve FFEM's efficiency and profitability by controlling the company's ERP and related applications environment (hosting­ basis support, strategy, security), by developing and maintaining a Business/IT project plan that supports the company's Mid Term Plan, and by supporting the quality of the application development activity (management of change, working methods).









Support of users for all infrastructure and applications requirements including but not limited to:







Successful semiconductor manufacturers move quickly. They demand quality and they require leading technology. For them, partnering with the right supplier is a critical decision.

With state-of-the-art manufacturing facilities in the U.S., Europe, Taiwan, China, Korea and Japan, local sales offices throughout the world and on site applications support, FUJIFILM Electronic Materials is prepared to supply the world's top tier semiconductor manufacturers.

FUJIFILM Electronic Materials offers a broad array of products and services used throughout the semiconductor manufacturing process.

Along with our broad array of advanced products, we rely on a corps of applications engineers to work directly with customers on specific applications. Technical and applications support are backed by technical service centers. FUJIFILM's investment in technical talent and equipment ensures optimal product characterization and quality in the face of the toughest customer requirements - whether in R&D or in customer applications.

FUJIFILM Electronic Materials is an equal opportunity and affirmative action employer. All qualified applicants will receive consideration without regard to race, color, national origin, sex, gender identity, sexual orientation, religion, disability, protected veteran status or any other characteristic protected by applicable federal, state or local law.",Director,Full-time,Information Technology,Electrical/Electronic ManufacturingChemicalsMechanical or Industrial Engineering,Electrical Engineering
General Job Application,Enova International,"Chicago, IL",4 months ago,"If you are interested in joining the Enova team, but don't see a position that seems like the right match, please fill out our General Application! You can submit your resume for review by the Recruiting team. If a current role fits with your interests and experience, we'll reach out right away. If not, your information will be kept on file for future roles.

Thanks for your interest in Enova!



Enova is a FinTech company dedicated to using technology to help hard-working people get access to fast, trustworthy credit. To date, we've helped more than 5 million customers around the world. Born and raised in Chicago, our philosophy is simple, ""Life's short. Work someplace awesome."" Want to learn more? Just ask any of our almost 1,500 employees.

Our goal at Enova, we believe that diversity and inclusion among our teammates is critical to our success as a global company, and we seek to recruit, develop and retain the most talented people from a diverse candidate pool. It is our policy to provide equal employment opportunity for all persons and not discriminate in employment decisions by placing the most qualified person in each job, without regard to any other classification protected by federal, state, or local law. California Applicants: Click here to review our California Privacy Policy for Job Applicantss.",Executive,Full-time,Other,Information Technology and ServicesComputer SoftwareFinancial Services,Information Technology
Chief Information Security Officer,San Jacinto College,"Houston, TX",1 day ago,"Job Description

San Jacinto College

Equal Opportunity Statement The San Jacinto College District is committed to equal opportunity for all students, employees, and applicants without regard to race, creed, color, national origin, citizenship status, age, disability, pregnancy, religion, gender, sexual orientation, gender expression or identity, genetic information, marital status, or veteran status in accordance with applicable federal and state laws.

Chief Information Security Officer - District Office



Develops and maintains information security policies and procedures that address regulatory requirements and the College's information security risks.

Ensures that annual information security risk assessments are performed and documented by information owners.

Reviews the College's inventory of information systems and related ownership and responsibilities.

Reviews, develops and recommends policies and establishes procedures and practices, in cooperation with College leadership, information owners and custodians, necessary to ensure the security of information and information resources against unauthorized or accidental modification, destruction, or disclosure.

Reports, at least annually, to the Strategic Leadership Team (SLT) the status and effectiveness of security controls.

Works with the administrative and technical resources to ensure that controls are utilized to address all applicable regulatory requirements and the College's information security risks.

Provides training and direction of personnel with significant responsibilities for information security with respect to such responsibilities.

Provides guidance and assistance to College leadership, information owners, information custodians, and end users concerning their responsibilities under applicable regulations.

Coordinates the review of data security requirements, specifications, and, if applicable, third-party risk assessment of any new computer applications or services that receive, maintain, andor share confidential data.

Verifies that security requirements are identified, and risk mitigation plans are developed and contractually agreed and obligated prior to the purchase of information technology hardware, software, and systems development services for any new high impact computer applications or computer applications that receive, maintain, andor share confidential data.

Informs the parties in the event of noncompliance with regulations andor with the College's information security policies.



Represents the College by participating in organizations, state and national conferences.

Maintains the day-to-day administration of the department, including contracts, payroll, expenses and supplies.

Manages and maintains the budget as allocated to the department. Support the CTIO's office in the development of the ITS budget.

Manages human resources within the department. This includes

Recommends staffing and organization structure to ensure optimum service delivery.

Hires and trains staff.

Develops staff.

Ensures that performance management activities, including evaluations and rating validations, are completed in a timely manner.

Works with the CTIO's office to ensure that staff issues within the department are addressed in accordance with the college's policies and procedures.

Salary Grade 38

Salary is based on the Board-approved salary schedule for the current fiscal year. See Salary Schedule

Requisition Number req2446

Posting Close Date 7312020 Job Requirements Knowledge, Skills and Abilities

Ability to demonstrate the College values

Ability to adapt to a fast-moving IT landscape and keep pace with latest thinking and new security technologies

Ability to interpret, develop and maintain policies and procedures

Excellent communication skills - providing verbal and written communication that is outstanding to both direct reports and senior management as well as other stakeholders

Flexible and adaptable - capable of changing direction where required and showing flexibility to meet new demands

Required Education

Bachelor's degree in computer science or related field



Master's degree in business administration or related field



Seven years of experience in technology leadership



10 years of experience in IT security

Required LicensesCertifications

Certified Information Security Manager (CISM)



Certified Information Systems Security Professional (CISSP)

Certified Information Systems Auditor (CISA)

PI121690322

Click here to apply!

httpswww.Click2Apply.net6y3n9jqsr2h4krwj",Executive,Contract,Information Technology,Information Technology and Services,Information Technology
Director of Inside Sales,MyComputerCareer,"Morrisville, NC",17 hours ago,"Job Description

Perks and Benefits:
Medical




The Director of Inside Sales is accountable for Education Contact Center operations while supervising a pre-enrollment staff and managing lead progression for Admissions for online learning and multiple campus locations.



The ideal candidate will have acute attention to detail that allows them to identify errors and problem solve on how to improve the processes of the department.











Job Type: Full-time

MyComputerCareer owns and operates private accredited colleges across the United States as well as via the Internet from our corporate headquarters near Raleigh, North Carolina. Our schools serve the needs of thousands of students while giving employers an educated and skilled workforce in the markets where we are located.

We provide educational opportunities, including high demand certifications, for one aspiring to become an Information Technology professional. Our programs are designed to prepare students for direct entry into the job market and provide hands-on instruction. It is our goal to specialize in those areas for which the job growth potential is highest. Our hallmark is personalized, practical, real-world instruction that best prepares the student for his or her future while meeting the needs of employers. And, we pledge to accomplish that in an encouraging, resourceful, and enabling atmosphere.

To learn more about our company, please click here: www.mycomputercareer.edu",Director,Full-time,Sales,Higher EducationEducation ManagementFinancial Services,Education
Director,NOAA: National Oceanic & Atmospheric Administration,"Silver Spring, MD",2 weeks ago,"Summary

The National Oceanic and Atmospheric Administratin (NOAA) National Weather Service (NWS) plays a key role in protecting American lives and property. The provision of weather, water, climate, & environmental information supports the Nation's social and economic deveopment. The Office of Science and Technology Integration (OSTI) integrates into operation the scientific techniques and system capabilities in response to service requirements of NWS in accordance with NOAA and NWS policies.



The Director of OSTI has full responsibility for establishing, managing, and providing strategic direction for the Office of Science and Technology Integration (OSTI). The OSTI integrates mission execution needs with the 3 year budgetary cycle processes. The Office leads planning and allocates resources to select the best mix of executable programs, projects, and activities for science and technology integration needs.

Specifically, the incumbent has full responsibility for the discharge of the following essential NWS functions:



Occasional travel - Occasional travel - Occasional travel is required to attend meetings and conferences.



Yes



0





As a basic requirement for entry into the SES, you must provide evidence of progressively responsible leadership experience that is indicative of senior executive level management capability; and that is directly related to the skills and abilities outlined under the Executive Core Qualifications (ECQs) and the Professional/Technical Qualifications (PTQs) listed under ""How You Will Be Evaluated."" Typically, experience of this nature will have been gained at or above the GS-14/15 grade level in the Federal service or its equivalent with state or local government, the private sector, or non-governmental organizations.



To meet the minimum qualifications for this position, you must possess all of the mandatory Executive Core Qualifications and Professional/Technical Qualifications listed below and the educational requirement. These qualifications would typically be acquired through education, experience, and training which reflect progressive development and achievement in managing a comprehensive business program in a complex organization. An individual's total experience and education must demonstrate the ability to perform the duties of the position. Applicants must meet all of the qualification requirements by the closing date of this announcement.



Leading Change: This core qualification involves the ability to bring about strategic change, both within and outside the organization, to meet organizational goals. Inherent to this ECQ is the ability to establish an organizational vision and to implement it in a continuously changing environment.

Leading People: This core qualification involves the ability to lead people toward meeting the organization's vision, mission, and goals. Inherent to this ECQ is the ability to provide an inclusive workplace that fosters the development of others, facilitates cooperation and teamwork, and supports constructive resolution of conflicts.

Results Driven: This core qualification involves the ability to meet organizational goals and customer expectations. Inherent to this ECQ is the ability to make decisions that produce high-quality results by applying technical knowledge, analyzing problems, and calculating risks.

Business Acumen: This core qualification involves the ability to manage human, financial, and information resources strategically.

Building Coalitions: This core qualification involves the ability to build coalitions internally and with other Federal agencies, State and local governments, nonprofit and private sector organizations, foreign governments, or international organizations to achieve common goals.













For detailed guidance on ECQs, applicants are strongly encouraged to review the Office of Personnel Management's Guide to Executive Qualifications at

Example of ECQ statements are available at





or",Director,Full-time,Other,Nonprofit Organization ManagementHigher EducationGovernment Administration,Nonprofit Organization Management
